PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
892,0,3,"Kelly, Mr. James",1,0.38623104829163113,0,0,330911,-0.49741333194918286,,1
893,1,3,"Wilkes, Mrs. James (Ellen Needs)",0,1.3713700413713346,1,0,363272,-0.5122780073786185,,2
894,0,2,"Myles, Mr. Thomas Francis",1,2.5535368330669788,0,0,240276,-0.4641004685259794,,1
895,0,3,"Wirz, Mr. Albert",1,-0.2048523475561909,0,0,315154,-0.48247515776279987,,2
896,1,3,"Hirvonen, Mrs. Alexander (Helga E Lindqvist)",0,-0.5989079447880722,1,1,3101298,-0.41749150070575175,,2
897,0,3,"Svensson, Mr. Johan Cervin",1,-1.2293969003590823,0,0,7538,-0.4723914868401545,,2
898,1,3,"Connolly, Miss. Kate",0,0.031581010782937916,0,0,330972,-0.5009986371661234,,1
899,0,2,"Caldwell, Mr. Albert Francis",1,-0.28366346700256717,1,1,248738,-0.11789443351515412,,2
900,1,3,"Abrahim, Mrs. Joseph (Sophie Halaut Easu)",0,-0.9141524225735773,0,0,2657,-0.5081692476000046,,0
901,0,3,"Davies, Mr. John Samuel",1,-0.6777190642344485,2,0,A/4 48871,-0.20483808502596335,,2
902,0,3,"Ilieff, Mr. Ylio",1,-0.2048523475561909,0,0,349220,-0.4962194253119416,,2
903,0,1,"Jones, Mr. Charles Cresson",1,1.2925589219249582,0,0,694,-0.1716740117692629,,2
904,1,1,"Snyder, Mrs. John Pillsbury (Nelle Stevenson)",0,-0.520096825341696,1,0,21228,0.8369924534808912,B45,2
905,0,2,"Howard, Mr. Benjamin",1,2.632347952513355,1,0,24065,-0.1716740117692629,,2
906,1,1,"Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)",0,1.3713700413713346,1,0,W.E.P. 5734,0.4588915432601625,E31,2
907,1,2,"del Carlo, Mrs. Sebastiano (Argenia Genovesi)",0,-0.4412857058953197,1,0,SC/PARIS 2167,-0.1408260456827061,,0
908,0,2,"Keane, Mr. Daniel",1,0.4256366080148193,0,0,233734,-0.4163710928254578,,1
909,0,3,"Assaf, Mr. Gerios",1,-0.6777190642344485,0,0,2692,-0.5082445390095603,,0
910,1,3,"Ilmakangas, Miss. Ida Livija",0,-0.2048523475561909,1,0,STON/O2. 3101270,-0.4956959707502683,,2
911,1,3,"Assaf Khalil, Mrs. Mariana (Miriam"")""",0,1.213747802478582,0,0,2696,-0.5082445390095603,,0
912,0,1,"Rothschild, Mr. Martin",1,2.0018589969423446,1,0,PC 17603,0.4270719594598148,,0
913,0,3,"Olsen, Master. Artur Karl",1,-1.6234524975909637,0,1,C 17368,-0.5809222610621629,,2
914,1,1,"Flegenheim, Mrs. Alfred (Antoinette)",0,-0.2048523475561909,0,0,PC 17598,-0.06979218607207077,,2
915,0,1,"Williams, Mr. Richard Norris II",1,-0.6777190642344485,0,1,PC 17597,0.46255213988665883,,0
